id,s,t,base,diff,level
129,3,27,0,,9000
130,2,27,0,,9992
131,17,28,0,,9000
132,9,28,0,,9000
133,7,28,0,,9000
134,6,28,1,,9000
135,6,28,0,,9000
136,5,28,0,,9000
137,4,28,2,,9000
138,4,28,0,,9000
139,4,28,1,,9993
140,3,28,0,,9000
141,3,28,1,,9993
142,2,28,0,"0,1",9998
143,18,29,0,,9000
144,10,29,0,,9000
145,7,29,0,,9000
146,7,29,1,,9000
147,5,29,0,,9000
148,4,29,"0,1",0,2
149,4,29,1,,9000
150,3,29,1,,9000
151,3,29,0,,9997
152,2,29,0,,9997
153,19,30,0,,9000
154,8,30,0,,9000
155,5,30,0,,9995
156,4,30,0,,9993
157,3,30,0,,9997
158,20,31,0,,9000
159,9,31,0,,9000
160,8,31,1,,9000
161,8,31,0,,9000
162,6,31,0,,9000
163,5,31,2,,9000
164,5,31,1,,9993
165,5,31,0,,9994
166,4,31,0,,9000
167,3,31,0,,9990
168,21,32,0,,9000
169,9,32,0,,9000
170,7,32,0,0,9998
171,6,32,2,,9000
172,6,32,1,,9995
173,6,32,0,0,9998
174,4,32,0,,9991
175,3,32,1,,9997
176,3,32,0,,9997
177,22,33,0,,9000
178,10,33,0,,9000
179,9,33,0,0,2
180,8,33,0,0,2
181,7,33,1,,9000
182,7,33,0,,9996
183,7,33,2,0,9998
184,6,33,0,,9000
185,5,33,0,1,9998
186,4,33,1,,9000
187,4,33,0,,9996
188,3,33,0,,9995
189,2,33,0,,9000
190,1,33,0,,9995
191,23,34,0,,9000
192,11,34,0,,9000
193,10,34,0,,9000
194,9,34,0,2,2
195,8,34,1,,9000
196,8,34,0,,9000
197,8,34,2,0,9998
198,7,34,1,0,2
199,7,34,0,,9994
200,6,34,0,,9000
201,5,34,"0,1",,9996
202,5,34,1,1,9998
203,4,34,0,,9996
204,24,35,0,,9000
205,10,35,0,2,2
206,9,35,0,,9000
207,8,35,0,,9995
208,7,35,1,0,2
209,7,35,0,,9000
210,6,35,0,1,9998
211,4,35,0,,9995
212,3,35,1,,9000
213,3,35,0,,9990
214,2,35,1,,9000
215,2,35,0,,9000
216,1,35,0,0,9998
217,25,36,0,,9000
218,11,36,0,,9000
219,8,36,1,0,2
220,8,36,0,,9994
221,7,36,0,2,9998
222,6,36,0,0,9998
223,5,36,0,,9996
224,4,36,0,,9990
225,3,36,0,0,2
226,2,36,0,,9997
227,26,37,0,,9000
228,12,37,0,,9000
229,9,37,2,0,2
230,9,37,1,,9995
231,9,37,0,,9995
232,8,37,0,0,2
233,8,37,1,,9000
234,7,37,0,0,9998
235,6,37,0,,9000
236,6,37,1,,9995
237,5,37,3,,9000
238,5,37,2,,9991
239,5,37,0,,9991
240,5,37,1,,9991
241,4,37,2,,9000
242,4,37,1,,9990
243,4,37,0,,9990
244,3,37,0,,9000
245,2,37,0,,9995
246,27,38,0,,9000
247,10,38,0,,9996
248,9,38,0,0,2
249,8,38,0,,9997
250,7,38,0,1,9997
251,6,38,0,0,9998
252,5,38,1,,9000
253,5,38,0,,9991
254,4,38,1,,9995
255,4,38,0,,9995
256,28,39,0,,9000
257,13,39,0,,9000
258,12,39,0,,9000
259,10,39,0,,9000
260,9,39,0,,9000
261,8,39,0,0,2
262,7,39,0,,9992
263,7,39,1,0,9998
264,6,39,2,,9000
265,6,39,1,,9000
266,6,39,0,0,9998
267,5,39,2,,9000
268,5,39,0,,9990
269,5,39,1,,9990
270,4,39,0,,9000
271,3,39,0,,9997
272,2,39,0,,9000
273,2,39,1,,9996
274,1,39,0,0,9998
275,29,40,0,,9000
276,13,40,0,,9000
277,11,40,0,,9000
278,10,40,1,0,3
279,10,40,0,,9000
280,9,40,0,1,2
281,8,40,0,0,2
282,8,40,1,1,9996
283,7,40,0,,9993
284,6,40,1,,9000
285,6,40,0,,9990
286,5,40,1,,9993
287,5,40,0,,9996
288,4,40,0,,9000
289,3,40,0,0,2
290,2,40,0,,9997
291,30,41,0,,9000
292,14,41,0,,9000
293,11,41,0,,9000
294,11,41,1,,9000
295,7,41,1,,9000
296,7,41,0,,9000
297,6,41,2,,9000
298,6,41,1,,9989
299,6,41,0,1,9998
300,5,41,1,,9000
301,5,41,0,,9997
302,4,41,0,,9992
303,3,41,1,,9000
304,3,41,0,,9997
305,2,41,0,,9000
306,2,41,1,,9995
307,31,42,0,,9000
308,12,42,0,,9000
309,9,42,0,,9995
310,8,42,1,0,2
311,8,42,0,0,9998
312,7,42,0,,9997
313,7,42,1,2,9998
314,6,42,1,,9989
315,6,42,0,0,9998
316,5,42,"1,2",,9992
317,5,42,0,,9993
318,5,42,2,,9993
319,4,42,1,,9990
320,4,42,0,,9990
321,3,42,0,,9996
322,32,43,0,,9000
323,13,43,0,,9000
324,12,43,1,1,4
325,12,43,0,,9000
326,10,43,0,0,2
327,9,43,2,1,2
328,9,43,1,,9994
329,9,43,0,,9994
330,8,43,0,0,2
331,8,43,1,,9000
332,7,43,1,,9990
333,7,43,0,0,9997
334,6,43,2,,9000
335,6,43,3,,9000
336,6,43,0,,9000
337,6,43,1,,9994
338,5,43,2,,9000
339,5,43,1,,9000
340,5,43,3,,9000
341,5,43,0,1,9998
342,4,43,0,,9000
343,4,43,1,,9997
344,3,43,1,,9000
345,3,43,2,,9000
346,3,43,0,,9997
347,2,43,1,,9995
348,2,43,0,1,9998
349,33,44,0,,9000
350,13,44,0,,9000
351,11,44,0,0,9998
352,10,44,2,,9994
353,10,44,1,,9995
354,10,44,0,0,9998
355,7,44,1,0,2
356,7,44,0,0,9996
357,6,44,1,,9992
358,6,44,0,1,9998
359,5,44,0,,9990
360,4,44,1,0,2
361,4,44,2,,9000
362,4,44,0,2,9998
363,3,44,2,,9994
364,3,44,1,,9996
365,3,44,0,"1,2",9998
366,2,44,0,"0,3",9998
367,34,45,0,,9000
368,14,45,0,,9000
369,13,45,0,0,2
370,12,45,0,0,2
371,11,45,2,,9000
372,11,45,0,,9996
373,11,45,1,0,9998
374,10,45,0,0,3
375,9,45,0,1,9998
376,8,45,1,0,2
377,8,45,0,0,9998
378,7,45,2,,9000
379,7,45,0,,9992
380,7,45,1,1,9998
381,6,45,2,0,2
382,6,45,0,,9000
383,6,45,1,,9991
384,5,45,"1,2",0,2
385,5,45,2,,9000
386,5,45,0,,9989
387,4,45,"0,3",0,2
388,4,45,3,,9000
389,4,45,2,,9000
390,4,45,1,,9997
391,3,45,0,,9995
392,3,45,2,,9996
393,3,45,1,0,9998
394,2,45,0,,9996
395,35,46,0,,9000
396,15,46,0,,9000
397,14,46,0,,9000
398,13,46,0,1,2
399,12,46,1,,9000
400,12,46,0,,9000
401,12,46,2,0,9998
402,11,46,1,0,2
403,11,46,0,,9994
404,10,46,0,0,2
405,9,46,1,1,2
406,9,46,0,1,9998
407,8,46,0,,9000
408,8,46,1,1,9996
409,7,46,0,,9994
410,5,46,0,1,2
411,4,46,0,,9996
412,4,46,1,,9997
413,3,46,0,,9997
414,36,47,0,,9000
415,14,47,0,2,2
416,13,47,0,,9000
417,12,47,0,,9995
418,11,47,1,0,2
419,11,47,0,0,4
420,10,47,0,1,9998
421,8,47,0,,9995
422,7,47,1,,9000
423,7,47,0,,9990
424,6,47,2,,9000
425,6,47,1,,9988
426,6,47,0,,9997
427,5,47,"0,1",,9995
428,5,47,1,0,9997
429,4,47,0,,9000
430,3,47,0,,9988
431,3,47,1,,9997
432,2,47,0,,9995
433,37,48,0,,9000
434,15,48,0,,9000
435,12,48,1,0,2
436,12,48,0,,9994
437,11,48,0,2,9998
438,10,48,0,0,9998
439,9,48,0,,9994
440,8,48,0,0,9998
441,7,48,2,,9000
442,7,48,0,,9989
443,7,48,1,,9996
444,6,48,"1,3",,9995
445,6,48,2,,9996
446,6,48,3,1,9997
447,6,48,0,1,9998
448,5,48,0,,9994
449,4,48,1,,9989
450,4,48,0,,9989
451,3,48,1,,9995
452,3,48,0,,9996
453,38,49,0,,9000
454,16,49,0,,9000
455,13,49,2,0,2
456,13,49,1,,9995
457,13,49,0,,9995
458,12,49,0,0,2
459,12,49,1,1,4
460,11,49,0,0,9998
461,10,49,0,0,2
462,9,49,1,,9000
463,9,49,0,,9991
464,8,49,1,0,2
465,8,49,0,0,3
466,8,49,2,,9000
467,7,49,3,,9000
468,7,49,2,,9996
469,7,49,1,1,9997
470,7,49,0,,9997
471,6,49,1,,9000
472,6,49,0,,9995
473,5,49,2,,9000
474,5,49,1,,9989
475,5,49,0,,9990
476,4,49,4,,9000
477,4,49,2,,9000
478,4,49,3,,9997
479,4,49,1,,9997
480,4,49,0,0,9998
481,3,49,1,,9000
482,3,49,0,,9997
483,39,50,0,,9000
484,14,50,0,,9996
485,13,50,0,0,2
486,12,50,0,,9997
487,11,50,0,1,9997
488,10,50,0,0,9998
489,9,50,1,1,3
490,9,50,0,,9991
491,8,50,1,0,9997
492,8,50,0,,9998
493,7,50,0,,9991
494,6,50,0,0,2
495,5,50,0,,9989
496,5,50,1,,9997
497,40,51,0,,9000
498,17,51,0,,9000
499,16,51,0,,9000
500,14,51,0,,9000
501,13,51,0,,9000
502,12,51,0,0,2
503,11,51,0,,9992
504,11,51,1,0,9998
505,10,51,1,1,3
506,10,51,2,,9000
507,10,51,0,0,9998
508,9,51,"0,1",0,9996
509,9,51,1,0,9997
510,8,51,0,0,9998
511,7,51,0,,9992
512,6,51,1,,9000
513,6,51,0,,9990
514,5,51,3,,9000
515,5,51,2,,9000
516,5,51,1,,9987
517,5,51,0,,9987
518,4,51,1,,9000
519,4,51,2,,9000
520,4,51,0,,9997
521,3,51,2,,9000
522,3,51,0,,9997
523,3,51,1,0,9998
524,2,51,0,,9997
525,41,52,0,,9000
526,17,52,0,,9000
527,15,52,0,,9000
528,14,52,1,0,3
529,14,52,0,,9000
530,13,52,0,1,2
531,12,52,0,0,2
532,12,52,1,1,9996
533,11,52,0,1,3
534,11,52,1,,9993
535,10,52,0,0,2
536,10,52,1,0,9996
537,9,52,0,0,9996
538,8,52,0,,9987
539,7,52,0,,9991
540,6,52,2,,9987
541,6,52,0,,9988
542,6,52,1,,9988
543,5,52,0,1,2
544,5,52,1,,9000
545,4,52,1,2,9998
546,4,52,0,,9998
547,3,52,1,,9997
548,3,52,0,,9997
549,42,53,0,,9000
550,18,53,0,,9000
551,15,53,1,,9000
552,15,53,0,,9000
553,12,53,0,0,3
554,11,53,0,,9000
555,11,53,1,,9992
556,10,53,0,1,9998
557,9,53,0,1,9997
558,8,53,1,,9992
559,8,53,0,,9992
560,7,53,2,,9000
561,7,53,0,,9989
562,7,53,1,0,9998
563,6,53,2,1,2
564,6,53,1,,9987
565,6,53,0,,9998
566,5,53,3,,9000
567,5,53,2,,9000
568,5,53,0,,9994
569,5,53,1,,9994
570,4,53,4,,9000
571,4,53,5,,9996
572,4,53,6,,9996
573,4,53,2,,9997
574,4,53,3,4,9998
575,4,53,0,,9998
576,4,53,1,,9998
577,3,53,2,,9994
578,3,53,1,,9997
579,3,53,0,,9998
580,43,54,0,,9000
581,16,54,0,,9000
582,13,54,0,"0,1",4
583,12,54,1,0,2
584,12,54,0,,9992
585,11,54,0,1,9997
586,11,54,1,2,9998
587,10,54,0,0,9998
588,9,54,0,1,2
589,9,54,1,,9993
590,8,54,1,,9000
591,8,54,0,"0,1",9998
592,8,54,2,1,9998
593,7,54,3,,9000
594,7,54,2,,9991
595,7,54,1,,9991
596,7,54,0,,9998
597,6,54,4,3,2
598,6,54,1,,9994
599,6,54,2,,9994
600,6,54,3,,9995
601,6,54,0,,9995
602,5,54,4,,9996
603,5,54,3,,9997
604,5,54,2,,9997
605,5,54,5,4,9998
606,5,54,0,,9998
607,5,54,1,,9998
608,4,54,2,,9995
609,4,54,1,,9996
610,4,54,0,,9998
611,44,55,0,,9000
612,17,55,0,,9000
613,16,55,1,1,4
614,16,55,0,,9000
615,14,55,0,1,4
616,13,55,2,1,2
617,13,55,0,0,4
618,13,55,1,,9000
619,12,55,0,0,2
620,12,55,1,0,3
621,11,55,0,0,9997
622,10,55,"0,1",0,2
623,10,55,1,2,2
624,9,55,2,,9000
625,9,55,1,,9991
626,9,55,0,0,9998
627,8,55,0,,9000
628,8,55,1,,9000
629,7,55,4,5,2
630,7,55,2,,9000
631,7,55,3,,9000
632,7,55,0,,9995
633,7,55,1,,9996
634,6,55,3,,9000
635,6,55,2,,9000
636,6,55,0,,9998
637,6,55,1,,9998
638,5,55,3,,9000
639,5,55,1,,9994
640,5,55,2,,9996
641,5,55,4,,9996
642,5,55,0,,9997
643,4,55,5,,9000
644,4,55,3,,9000
645,4,55,2,,9987
646,4,55,4,,9997
647,4,55,1,,9997
648,4,55,0,,9998
649,3,55,1,,9000
650,3,55,0,,9998
651,45,56,0,,9000
652,17,56,0,,9000
653,15,56,0,0,9998
654,14,56,1,0,3
655,14,56,2,,9000
656,14,56,0,0,9998
657,11,56,0,0,2
658,11,56,1,0,9996
659,10,56,"0,1",,9992
660,10,56,1,1,9998
661,9,56,0,,9993
662,8,56,2,,2
663,8,56,4,,9000
664,8,56,3,,9000
665,8,56,1,,9986
666,8,56,0,,9997
667,7,56,2,,9000
668,7,56,0,,9994
669,7,56,1,1,9998
670,6,56,0,,9989
671,5,56,3,,9000
672,5,56,0,,9988
673,5,56,1,,9992
674,5,56,4,,9997
675,5,56,2,,9997
676,4,56,1,,9997
677,4,56,2,2,9998
678,4,56,0,,9998
679,46,57,0,,9000
680,18,57,0,,9000
681,17,57,0,0,2
682,16,57,0,0,2
683,15,57,1,,9000
684,15,57,0,,9996
685,15,57,2,0,9998
686,14,57,0,0,3
687,13,57,0,1,9998
688,12,57,1,0,2
689,12,57,0,0,9998
690,11,57,0,,9992
691,11,57,1,1,9998
692,10,57,0,0,9998
693,9,57,1,1,2
694,9,57,0,,9996
695,8,57,1,,9000
696,8,57,0,0,9998
697,7,57,1,,9990
698,7,57,0,,9998
699,6,57,2,2,2
700,6,57,4,,9000
701,6,57,3,,9000
702,6,57,5,,9981
703,6,57,1,,9993
704,6,57,0,,9996
705,5,57,2,,9000
706,5,57,1,,9000
707,5,57,4,,9000
708,5,57,3,,9994
709,5,57,0,,9995
710,4,57,2,,9000
711,4,57,0,,9997
712,4,57,1,2,9998
713,3,57,0,,9997
714,47,58,0,,9000
715,19,58,0,,9000
716,18,58,0,,9000
717,17,58,0,2,2
718,16,58,1,,9000
719,16,58,0,,9000
720,16,58,2,0,9998
721,15,58,1,0,2
722,15,58,0,,9998
723,14,58,0,0,2
724,13,58,1,1,2
725,13,58,0,1,9998
726,12,58,0,0,2
727,12,58,1,1,9996
728,11,58,0,,9993
729,10,58,0,0,2
730,9,58,0,0,9996
731,8,58,0,,9991
732,7,58,2,,9982
733,7,58,1,,9994
734,7,58,0,,9994
735,6,58,2,1,2
736,6,58,0,,9998
737,6,58,1,,9998
738,5,58,1,,9997
739,5,58,2,,9997
740,5,58,0,,9998
741,4,58,1,,9997
742,4,58,0,,9998
743,48,59,0,,9000
744,18,59,0,2,2
745,17,59,0,,9000
746,16,59,0,,9995
747,15,59,1,0,2
748,15,59,0,1,4
749,14,59,0,1,9998
750,12,59,0,,9995
751,11,59,0,,9000
752,10,59,0,,9997
753,9,59,1,0,9996
754,9,59,0,,9996
755,8,59,1,,9989
756,8,59,0,,9995
757,7,59,1,,9988
758,7,59,2,,9988
759,7,59,0,,9997
760,6,59,3,,9000
761,6,59,2,,9000
762,6,59,1,,9986
763,6,59,0,,9986
764,5,59,3,,9000
765,5,59,2,,9000
766,5,59,0,,9998
767,5,59,1,,9998
768,4,59,0,,9996
769,4,59,1,,9997
770,3,59,0,,9996
771,49,60,0,,9000
772,19,60,0,,9000
773,16,60,1,0,2
774,16,60,0,,9994
775,15,60,0,2,9998
776,14,60,0,0,9998
777,13,60,0,,9994
778,12,60,0,0,9998
779,11,60,0,,9996
780,10,60,1,,9993
781,10,60,0,0,9998
782,9,60,0,,9996
783,8,60,3,,9000
784,8,60,1,,9989
785,8,60,2,,9989
786,8,60,0,,9997
787,7,60,2,,9000
788,7,60,3,,9000
789,7,60,1,,9996
790,7,60,0,,9998
791,6,60,1,,9000
792,6,60,0,,9998
793,5,60,1,,9996
794,5,60,3,,9997
795,5,60,2,,9997
796,5,60,0,,9998
797,5,60,4,,9998
798,4,60,2,,9996
799,4,60,1,,9996
800,4,60,0,,9998
801,50,61,0,,9000
802,20,61,0,,9000
803,17,61,2,0,2
804,17,61,1,,9995
805,17,61,0,,9995
806,16,61,0,0,2
807,16,61,1,1,4
808,15,61,0,0,9998
809,14,61,0,0,2
810,13,61,0,0,4
811,13,61,1,,9000
812,12,61,0,0,2
813,11,61,0,0,9996
814,10,61,1,,9990
815,10,61,0,,9990
816,9,61,3,,9000
817,9,61,2,,9000
818,9,61,1,,9000
819,9,61,0,,9990
820,8,61,3,,9000
821,8,61,2,,9000
822,8,61,4,,9000
823,8,61,1,,9997
824,8,61,0,,9997
825,7,61,1,,9000
826,7,61,0,,9998
827,6,61,2,,9000
828,6,61,1,,9993
829,6,61,0,,9993
830,6,61,3,,9997
831,5,61,4,,9000
832,5,61,3,,9000
833,5,61,2,,9995
834,5,61,0,,9998
835,5,61,1,,9998
836,4,61,1,,9000
837,4,61,0,,9998
838,51,62,0,,9000
839,18,62,0,,9996
840,17,62,0,0,2
841,16,62,0,,9997
842,15,62,0,1,9997
843,14,62,0,0,9998
844,13,62,0,1,4
845,12,62,0,1,9998
846,11,62,1,,9991
847,11,62,0,0,9996
848,10,62,1,,9991
849,10,62,0,,9991
850,9,62,1,,9989
851,9,62,0,,9998
852,8,62,0,,9994
853,7,62,1,,9000
854,7,62,0,,9993
855,6,62,2,,9996
856,6,62,1,,9997
857,6,62,0,,9998
858,52,63,0,,9000
859,21,63,0,,9000
860,20,63,0,,9000
861,18,63,0,,9000
862,17,63,0,,9000
863,16,63,0,0,2
864,15,63,0,,9992
865,15,63,1,0,9998
866,14,63,1,0,2
867,14,63,0,0,9998
868,13,63,0,,9996
869,12,63,0,0,9998
870,11,63,0,,9000
871,11,63,1,,9992
872,10,63,0,0,9998
873,9,63,0,,9000
874,8,63,0,,9000
875,7,63,1,,9000
876,7,63,0,,9997
877,6,63,1,,9000
878,6,63,0,,9995
879,5,63,1,,9000
880,5,63,0,,9994
881,4,63,0,0,9998
882,53,64,0,,9000
883,21,64,0,,9000
884,19,64,0,,9000
885,18,64,1,0,3
886,18,64,0,,9000
887,17,64,0,1,2
888,16,64,0,0,2
889,16,64,1,1,9996
890,15,64,0,0,4
891,14,64,0,0,2
892,13,64,0,0,9996
893,12,64,0,0,2
894,10,64,0,,9000
895,9,64,0,,9996
896,8,64,1,,9997
897,8,64,0,,9998
898,7,64,2,,9995
899,7,64,1,,9997
900,7,64,0,,9998
901,6,64,0,0,2
902,5,64,0,,9996
903,54,65,0,,9000
904,22,65,0,,9000
905,19,65,1,,9000
906,19,65,0,,9000
907,15,65,0,0,4
908,14,65,0,1,9998
909,13,65,0,1,9997
910,12,65,1,,9000
911,12,65,0,,9992
912,11,65,1,,9000
913,11,65,0,,9998
914,10,65,2,,9990
915,10,65,1,,9997
916,10,65,0,,9997
917,9,65,3,,9993
918,9,65,0,,9998
919,9,65,1,,9998
920,9,65,2,,9998
921,8,65,3,0,9997
922,8,65,1,,9997
923,8,65,2,,9997
924,8,65,0,,9998
925,7,65,0,,9000
926,7,65,1,,9997
927,6,65,1,2,9998
928,6,65,0,,9998
929,5,65,0,1,9998
930,2,65,0,,9994
931,1,65,0,,9996
932,55,66,0,,9000
933,20,66,0,,9000
934,17,66,0,,9995
935,16,66,1,0,2
936,16,66,0,0,9998
937,15,66,0,1,9997
938,15,66,1,2,9998
939,14,66,0,0,9998
940,13,66,"0,1",,9992
941,13,66,1,,9993
942,12,66,1,0,9998
943,12,66,0,,9998
944,11,66,1,,9000
945,11,66,0,,9996
946,10,66,1,,9000
947,10,66,0,,9997
948,9,66,2,,9981
949,9,66,1,,9990
950,9,66,0,,9997
951,8,66,2,1,2
952,8,66,1,,9994
953,8,66,0,,9997
954,7,66,1,0,2
955,7,66,0,,9998
956,6,66,2,2,9998
957,6,66,0,,9998
958,6,66,1,,9998
959,5,66,1,,9995
960,5,66,0,1,9998
961,4,66,0,,9997
962,56,67,0,,9000
963,21,67,0,,9000
964,20,67,1,1,4
965,20,67,0,,9000
966,18,67,0,0,2
967,17,67,2,1,2
968,17,67,0,0,4
969,17,67,1,,9994
970,16,67,0,0,2
971,16,67,1,0,3
972,15,67,0,0,9997
973,14,67,0,1,2
974,14,67,1,,9992
975,13,67,0,,9991
976,13,67,1,1,9998
977,11,67,0,3,3
978,11,67,1,,9987
979,10,67,3,,9000
980,10,67,0,,9000
981,10,67,"1,2",,9991
982,10,67,2,2,9998
983,9,67,3,,9000
984,9,67,1,,9995
985,9,67,2,,9995
986,9,67,0,,9998
987,8,67,2,2,2
988,8,67,0,,9000
989,8,67,1,,9997
990,7,67,1,0,2
991,7,67,0,,9997
992,6,67,0,,9000
993,6,67,1,1,9998
994,5,67,1,,9994
995,5,67,0,,9997
996,4,67,0,,9998
997,3,67,0,,9994
998,2,67,0,,9994
999,2,67,1,,9996
1000,1,67,0,,9998
1001,57,68,0,,9000
1002,21,68,0,,9000
1003,19,68,0,0,9998
1004,18,68,1,0,3
1005,18,68,2,,9994
1006,18,68,0,0,9998
1007,15,68,1,1,2
1008,15,68,0,0,9996
1009,14,68,"0,1",,9992
1010,14,68,1,1,9998
1011,13,68,0,,9000
1012,12,68,2,2,2
1013,12,68,1,,9997
1014,12,68,0,,9997
1015,11,68,1,0,9996
1016,11,68,0,,9996
1017,10,68,1,,9996
1018,10,68,0,,9998
1019,9,68,2,,9000
1020,9,68,1,,9992
1021,9,68,0,,9998
1022,8,68,1,1,2
1023,8,68,0,0,9997
1024,7,68,2,,9985
1025,7,68,1,,9997
1026,7,68,0,,9997
1027,6,68,0,,9994
1028,6,68,1,,9995
1029,6,68,"2,3",,9995
1030,6,68,3,,9997
1031,5,68,1,,9997
1032,5,68,3,,9997
1033,5,68,2,,9997
1034,5,68,0,,9998
1035,4,68,0,,9997
1036,3,68,0,,9992
1037,2,68,0,,9998
1038,58,69,0,,9000
1039,22,69,0,,9000
1040,21,69,0,0,2
1041,20,69,0,0,2
1042,19,69,2,,9000
1043,19,69,1,0,9998
1044,19,69,0,,9998
1045,18,69,0,0,3
1046,17,69,0,1,9998
1047,16,69,1,1,2
1048,16,69,0,0,9998
1049,15,69,0,,9992
1050,15,69,1,1,9998
1051,14,69,0,0,9998
1052,13,69,0,0,9996
1053,12,69,0,,9993
1054,11,69,0,,9990
1055,11,69,1,,9990
1056,10,69,0,,9993
1057,10,69,1,,9997
1058,8,69,1,2,9997
1059,8,69,0,,9998
1060,7,69,2,,9000
1061,7,69,0,,9998
1062,7,69,1,,9998
1063,6,69,1,,9993
1064,6,69,2,,9995
1065,6,69,0,,9997
1066,5,69,1,,9997
1067,5,69,0,,9998
1068,4,69,0,,9000
1069,3,69,0,,9988
1070,3,69,1,,9995
1071,2,69,0,,9996
1072,59,70,0,,9000
1073,23,70,0,,9000
1074,22,70,0,,9000
1075,21,70,0,1,2
1076,20,70,1,,9000
1077,20,70,2,0,9998
1078,20,70,0,,9998
1079,19,70,1,0,2
1080,19,70,0,,9998
1081,18,70,0,0,2
1082,17,70,1,1,2
1083,17,70,0,1,9998
1084,16,70,0,0,2
1085,16,70,1,1,9996
1086,15,70,0,,3
1087,11,70,0,0,3
1088,10,70,2,,9000
1089,10,70,1,,9000
1090,10,70,0,,9996
1091,9,70,2,,9981
1092,9,70,3,,9995
1093,9,70,0,,9998
1094,9,70,1,,9998
1095,8,70,0,,9998
1096,8,70,1,,9998
1097,8,70,2,,9998
1098,7,70,2,,9985
1099,7,70,0,,9998
1100,7,70,1,,9998
1101,6,70,"2,3",,9995
1102,6,70,1,,9995
1103,6,70,4,,9997
1104,6,70,3,2,9998
1105,6,70,0,,9998
1106,5,70,1,,9994
1107,5,70,0,"3,4",9998
1108,60,71,0,,9000
1109,22,71,0,2,2
1110,21,71,0,,9000
1111,20,71,0,,9995
1112,19,71,1,0,2
1113,19,71,0,0,4
1114,18,71,0,1,9998
1115,16,71,0,,9995
1116,15,71,0,1,4
1117,14,71,1,,9997
1118,14,71,0,,9997
1119,13,71,2,,9996
1120,13,71,"0,1",,9996
1121,13,71,1,"0,1",9998
1122,12,71,1,,9000
1123,12,71,0,,9991
1124,11,71,2,1,3
1125,11,71,1,,9989
1126,11,71,0,,9997
1127,10,71,1,,9996
1128,10,71,0,,9996
1129,10,71,2,1,9998
1130,9,71,3,,9997
1131,9,71,0,,9998
1132,9,71,1,,9998
1133,9,71,2,,9998
