id,s,t,base,diff,level
129,5,26,0,,9000
130,4,26,2,,9000
131,4,26,1,,9000
132,4,26,0,0,9998
133,3,26,2,,9000
134,3,26,1,,9997
135,3,26,0,,9997
136,20,27,0,,9000
137,9,27,0,,9000
138,8,27,0,,9000
139,6,27,0,0,2
140,6,27,1,1,3
141,5,27,1,,9000
142,5,27,2,,9000
143,5,27,3,,9000
144,5,27,0,0,9998
145,4,27,2,,9000
146,4,27,1,,9000
147,4,27,0,,9000
148,3,27,2,,9000
149,3,27,1,,9000
150,3,27,0,,9995
151,2,27,0,,9000
152,21,28,0,,9000
153,9,28,0,,9000
154,7,28,0,0,2
155,6,28,1,,9000
156,6,28,0,,9000
157,6,28,2,,9000
158,5,28,0,,9000
159,4,28,0,,9000
160,4,28,1,,9000
161,4,28,3,,9000
162,4,28,2,0,9998
163,3,28,2,,9000
164,3,28,1,,9000
165,3,28,0,,9997
166,22,29,0,,9000
167,10,29,0,,9000
168,7,29,0,,9000
169,7,29,1,,9000
170,6,29,0,2,2
171,5,29,1,,9000
172,5,29,2,,9000
173,5,29,0,0,9998
174,4,29,3,,9000
175,4,29,2,,9000
176,4,29,0,,9000
177,4,29,1,1,9998
178,3,29,1,,9000
179,3,29,0,,9928
180,23,30,0,,9000
181,8,30,1,,9000
182,8,30,0,,9000
183,7,30,0,0,2
184,7,30,1,,9000
185,6,30,1,1,2
186,6,30,0,,9000
187,5,30,2,,9000
188,5,30,0,1,9998
189,5,30,1,0,9998
190,4,30,0,,9000
191,24,31,0,,9000
192,9,31,0,,9000
193,8,31,1,,9000
194,8,31,0,,9000
195,7,31,1,0,2
196,7,31,0,1,2
197,6,31,0,,9997
198,5,31,1,,9000
199,5,31,0,,9000
200,4,31,1,,9000
201,4,31,0,,9928
202,3,31,0,,9000
203,25,32,0,,9000
204,9,32,0,,9000
205,8,32,0,,9000
206,6,32,0,0,9998
207,5,32,1,,9000
208,5,32,0,,9000
209,4,32,0,,9997
210,26,33,0,,9000
211,10,33,0,,9000
212,9,33,2,,9000
213,9,33,1,,9000
214,9,33,0,,9000
215,8,33,0,0,2
216,7,33,0,0,9998
217,6,33,1,,9000
218,6,33,0,,9000
219,5,33,1,,9000
220,5,33,0,,9928
221,4,33,1,,9000
222,4,33,0,,9000
223,2,33,0,,9000
224,1,33,0,,9996
225,27,34,0,,9000
226,11,34,0,,9000
227,10,34,1,,9000
228,10,34,0,,9000
229,9,34,0,0,2
230,8,34,0,1,9998
231,7,34,0,,9000
232,6,34,0,,9000
233,5,34,0,,9000
234,4,34,0,,9000
235,28,35,0,,9000
236,10,35,1,0,2
237,10,35,0,,9000
238,9,35,0,,9000
239,7,35,0,,9000
240,6,35,1,,9000
241,6,35,0,0,9998
242,5,35,1,,9000
243,5,35,0,,9000
244,3,35,0,,9000
245,2,35,1,,9000
246,2,35,0,,9000
247,1,35,0,0,9998
248,29,36,0,,9000
249,11,36,1,,9000
250,11,36,0,,9000
251,10,36,1,,9000
252,10,36,0,,9000
253,8,36,0,0,2
254,7,36,0,0,9998
255,6,36,1,,9000
256,6,36,0,,9000
257,5,36,0,,9000
258,3,36,0,0,2
259,2,36,0,,9996
260,30,37,0,,9000
261,12,37,0,,9000
262,11,37,1,,9000
263,11,37,0,,9000
264,9,37,0,0,2
265,8,37,1,,9000
266,8,37,0,,9000
267,7,37,1,,9000
268,7,37,0,1,9998
269,6,37,0,,9000
270,6,37,1,,9996
271,5,37,1,,9000
272,5,37,0,,9000
273,4,37,0,,9000
274,3,37,0,,9000
275,2,37,0,,9995
276,31,38,0,,9000
277,12,38,0,,9000
278,9,38,1,0,2
279,9,38,0,,9000
280,8,38,0,0,9998
281,8,38,1,1,9998
282,7,38,0,"0,1",9997
283,6,38,0,0,9998
284,5,38,0,,9993
285,4,38,0,,9989
286,32,39,0,,9000
287,13,39,0,,9000
288,12,39,0,,9000
289,10,39,0,0,2
290,10,39,1,1,2
291,9,39,1,,9000
292,9,39,2,,9000
293,9,39,0,0,9998
294,8,39,0,0,2
295,7,39,0,0,9998
296,6,39,0,,9000
297,6,39,2,,9000
298,6,39,1,,9994
299,5,39,1,,9000
300,5,39,0,1,9998
301,4,39,0,,9000
302,3,39,0,,9995
303,2,39,0,,9000
304,2,39,1,,9996
305,1,39,0,1,9998
306,33,40,0,,9000
307,13,40,0,,9000
308,11,40,0,0,2
309,10,40,"0,1",0,3
310,10,40,2,,9000
311,10,40,1,,9000
312,9,40,0,0,2
313,8,40,1,1,9996
314,8,40,0,0,9998
315,7,40,1,0,2
316,7,40,0,1,9998
317,6,40,0,,9991
318,5,40,0,,9990
319,4,40,0,,9000
320,3,40,1,0,2
321,3,40,0,,9000
322,2,40,0,,9997
323,2,40,1,1,9998
324,34,41,0,,9000
325,14,41,0,,9000
326,11,41,1,,9000
327,11,41,0,,9000
328,10,41,0,0,2
329,9,41,1,0,2
330,9,41,0,0,9998
331,8,41,0,0,9998
332,8,41,1,1,9998
333,7,41,1,,9000
334,7,41,0,,9000
335,6,41,1,,9000
336,6,41,0,0,9998
337,5,41,1,,9000
338,5,41,0,,9997
339,4,41,1,1,2
340,4,41,0,,9000
341,3,41,3,,9000
342,3,41,1,,9000
343,3,41,0,,9997
344,3,41,2,3,9998
345,2,41,1,,9000
346,2,41,2,,9995
347,2,41,0,,9997
348,35,42,0,,9000
349,12,42,1,,9000
350,12,42,0,,9000
351,11,42,0,0,2
352,11,42,1,,9000
353,10,42,0,0,2
354,10,42,1,1,2
355,9,42,0,0,9998
356,9,42,1,1,9998
357,8,42,0,0,2
358,7,42,0,0,9998
359,6,42,0,,9988
360,5,42,3,2,2
361,5,42,2,,9000
362,5,42,0,,9000
363,5,42,1,,9000
364,4,42,1,,9000
365,4,42,2,,9000
366,4,42,0,,9000
367,4,42,3,2,9997
368,3,42,1,,9000
369,3,42,0,,9996
370,36,43,0,,9000
371,13,43,0,,9000
372,12,43,1,1,4
373,12,43,0,,9000
374,11,43,0,0,2
375,11,43,1,1,2
376,10,43,0,2,9997
377,9,43,0,0,2
378,8,43,0,,9000
379,8,43,1,,9000
380,7,43,1,,9000
381,7,43,0,1,9998
382,6,43,1,,9000
383,6,43,2,,9000
384,6,43,0,1,9997
385,5,43,2,,9000
386,5,43,0,,9000
387,5,43,3,,9000
388,5,43,1,0,9997
389,4,43,0,,9000
390,4,43,1,,9997
391,3,43,1,,9000
392,3,43,0,,9000
393,3,43,2,,9000
394,2,43,1,,9995
395,2,43,0,2,9997
396,37,44,0,,9000
397,13,44,0,,9000
398,12,44,0,,9000
399,10,44,0,0,9998
400,9,44,1,0,2
401,9,44,0,,9000
402,8,44,0,0,9998
403,8,44,1,1,9998
404,7,44,2,3,3
405,7,44,0,0,9996
406,7,44,1,0,9997
407,6,44,1,,9000
408,6,44,2,,9000
409,6,44,3,0,9997
410,6,44,0,1,9998
411,5,44,0,,9000
412,5,44,1,,9000
413,4,44,1,,9000
414,4,44,2,,9000
415,4,44,3,,9000
416,4,44,0,4,9998
417,3,44,1,,9000
418,3,44,2,,9995
419,3,44,0,1,9997
420,38,45,0,,9000
421,14,45,0,,9000
422,13,45,2,0,3
423,13,45,1,,9000
424,13,45,0,,9000
425,12,45,0,0,2
426,11,45,0,0,9998
427,10,45,0,0,2
428,10,45,1,1,2
429,9,45,1,0,3
430,9,45,0,0,9998
431,8,45,1,0,2
432,8,45,0,1,3
433,7,45,3,,9000
434,7,45,0,,9000
435,7,45,1,1,9997
436,7,45,2,1,9998
437,6,45,4,0,2
438,6,45,2,,9000
439,6,45,1,,9000
440,6,45,3,,9000
441,6,45,0,,9928
442,5,45,2,0,3
443,5,45,"3,4",,9000
444,5,45,4,,9000
445,5,45,1,,9000
446,5,45,0,,9000
447,4,45,4,,9000
448,4,45,1,,9000
449,4,45,0,,9000
450,4,45,3,,9000
451,4,45,2,,9997
452,3,45,1,,9996
453,3,45,0,,9996
454,39,46,0,,9000
455,15,46,0,,9000
456,14,46,1,,9000
457,14,46,0,,9000
458,13,46,0,0,2
459,12,46,0,1,9998
460,11,46,0,0,2
461,10,46,0,1,3
462,9,46,1,2,2
463,9,46,0,3,3
464,8,46,2,1,9996
465,8,46,"0,1",0,9996
466,8,46,1,0,9997
467,7,46,0,,9000
468,7,46,1,1,9998
469,6,46,1,0,3
470,6,46,0,,9000
471,5,46,1,,9000
472,5,46,0,,9000
473,40,47,0,,9000
474,14,47,1,0,2
475,14,47,0,,9000
476,13,47,0,,9000
477,11,47,0,0,4
478,10,47,1,1,3
479,10,47,0,0,9998
480,9,47,1,1,2
481,9,47,0,0,9996
482,9,47,2,1,9996
483,8,47,"0,1",,9992
484,8,47,1,0,9998
485,8,47,2,1,9998
486,7,47,1,,9000
487,7,47,2,,9000
488,7,47,0,,9000
489,6,47,0,,9000
490,6,47,2,,9000
491,6,47,1,,9997
492,5,47,1,,9000
493,5,47,0,,9995
494,4,47,0,,9000
495,3,47,0,,9000
496,3,47,1,,9997
497,2,47,0,,9996
498,41,48,0,,9000
499,15,48,1,,9000
500,15,48,0,,9000
501,14,48,1,,9000
502,14,48,0,,9000
503,12,48,0,0,2
504,11,48,0,0,3
505,11,48,1,0,9998
506,10,48,0,0,2
507,10,48,1,2,2
508,10,48,2,1,9996
509,9,48,1,1,9996
510,9,48,0,1,9998
511,8,48,0,,9000
512,7,48,1,,9000
513,7,48,0,,9000
514,6,48,2,,9000
515,6,48,1,,9987
516,6,48,0,,9996
517,4,48,0,,9000
518,3,48,1,,9996
519,3,48,0,,9996
520,42,49,0,,9000
521,16,49,0,,9000
522,15,49,1,,9000
523,15,49,0,,9000
524,13,49,0,1,2
525,12,49,1,2,4
526,12,49,0,"0,1",4
527,11,49,1,0,2
528,11,49,0,,9000
529,10,49,0,1,9996
530,9,49,0,,9000
531,8,49,0,,9000
532,8,49,1,,9000
533,7,49,2,,9000
534,7,49,0,,9000
535,7,49,1,2,9998
536,6,49,1,,9000
537,6,49,0,,9000
538,5,49,1,,9000
539,5,49,0,,9000
540,4,49,4,,9000
541,4,49,5,,9000
542,4,49,2,,9928
543,4,49,3,,9997
544,4,49,1,,9997
545,4,49,0,0,9998
546,3,49,1,,9000
547,3,49,2,,9000
548,3,49,0,,9997
549,43,50,0,,9000
550,16,50,0,,9000
551,13,50,0,0,4
552,13,50,1,2,4
553,12,50,1,,9000
554,12,50,0,0,9998
555,11,50,0,0,9997
556,10,50,0,0,9998
557,9,50,2,1,2
558,9,50,1,,9000
559,9,50,0,,9993
560,8,50,1,0,9998
561,8,50,2,1,9998
562,8,50,0,,9998
563,7,50,1,,9000
564,7,50,0,,9000
565,6,50,0,0,2
566,6,50,2,,9000
567,6,50,1,,9000
568,5,50,3,,9000
569,5,50,0,,9000
570,5,50,2,,9000
571,5,50,1,,9000
572,4,50,0,,9000
573,4,50,1,,9000
574,44,51,0,,9000
575,17,51,0,,9000
576,16,51,0,,9000
577,14,51,0,0,2
578,14,51,1,2,4
579,13,51,1,1,4
580,13,51,2,,9000
581,13,51,0,0,9998
582,12,51,0,0,2
583,11,51,0,0,9998
584,10,51,0,1,2
585,10,51,1,2,2
586,10,51,2,,9000
587,9,51,1,,9000
588,9,51,0,1,9998
589,8,51,0,,9000
590,7,51,2,,9000
591,7,51,1,,9000
592,7,51,0,,9928
593,6,51,1,,9000
594,6,51,2,,9000
595,6,51,0,1,9998
596,5,51,1,,9000
597,5,51,3,,9000
598,5,51,2,,9000
599,5,51,0,,9000
600,4,51,2,,9000
601,4,51,1,,9000
602,4,51,3,,9000
603,4,51,0,,9997
604,3,51,1,,9000
605,3,51,0,2,9998
606,45,52,0,,9000
607,17,52,0,,9000
608,15,52,0,0,2
609,14,52,0,0,3
610,14,52,1,0,4
611,14,52,2,,9000
612,13,52,0,0,2
613,12,52,1,1,9996
614,12,52,0,0,9998
615,11,52,1,0,2
616,11,52,0,1,9998
617,10,52,0,,9000
618,8,52,1,0,2
619,8,52,0,0,9996
620,7,52,0,,9000
621,7,52,1,2,9998
622,6,52,2,,9000
623,6,52,1,,9000
624,6,52,0,,9000
625,5,52,2,0,2
626,5,52,3,,9000
627,5,52,1,,9000
628,5,52,0,,9000
629,4,52,0,2,9998
630,46,53,0,,9000
631,18,53,0,,9000
632,15,53,1,,9000
633,15,53,0,,9000
634,14,53,0,0,2
635,13,53,1,0,2
636,13,53,0,0,9998
637,12,53,0,0,9998
638,12,53,1,1,9998
639,11,53,0,,9000
640,10,53,0,0,9998
641,9,53,2,1,2
642,9,53,1,0,9996
643,9,53,0,1,9997
644,8,53,1,0,9998
645,8,53,0,,9998
646,7,53,1,,9000
647,7,53,0,,9000
648,6,53,2,0,2
649,6,53,"0,3",,9000
650,6,53,3,,9000
651,6,53,1,,9000
652,5,53,0,,9000
653,5,53,2,,9000
654,5,53,1,,9000
655,4,53,1,,9996
656,4,53,0,1,9998
657,3,53,0,,9996
658,47,54,0,,9000
659,16,54,1,,9000
660,16,54,0,,9000
661,15,54,0,0,2
662,15,54,1,,9000
663,14,54,0,0,2
664,14,54,1,1,2
665,13,54,0,1,9998
666,13,54,1,0,9998
667,12,54,0,0,2
668,11,54,0,0,9998
669,10,54,0,1,2
670,9,54,0,1,9996
671,8,54,0,,9000
672,7,54,2,,9000
673,7,54,1,,9000
674,7,54,0,,9989
675,6,54,1,0,2
676,6,54,0,,9996
677,5,54,1,2,9998
678,5,54,0,,9998
679,4,54,0,0,9998
680,48,55,0,,9000
681,17,55,0,,9000
682,16,55,1,1,4
683,16,55,0,,9000
684,15,55,1,0,2
685,15,55,0,1,2
686,14,55,0,2,9997
687,13,55,0,0,2
688,12,55,1,0,3
689,12,55,0,0,4
690,11,55,0,1,9998
691,9,55,1,,9000
692,9,55,0,,9000
693,8,55,0,,9000
694,8,55,1,,9000
695,7,55,2,1,2
696,7,55,1,,9000
697,7,55,0,,9996
698,6,55,0,0,2
699,6,55,1,,9000
700,5,55,1,,9000
701,5,55,2,,9996
702,5,55,0,,9997
703,4,55,3,,9000
704,4,55,1,,9000
705,4,55,2,,9997
706,4,55,0,,9997
707,3,55,0,,9000
708,49,56,0,,9000
709,17,56,0,,9000
710,16,56,0,,9000
711,14,56,0,0,9998
712,13,56,1,0,2
713,13,56,0,1,4
714,12,56,0,0,9998
715,12,56,1,1,9998
716,11,56,1,0,9996
717,11,56,0,0,9997
718,10,56,2,,9000
719,10,56,0,,9000
720,10,56,1,0,9998
721,9,56,1,,9000
722,9,56,0,,9990
723,8,56,1,,9000
724,8,56,3,,9000
725,8,56,2,,9000
726,8,56,0,,9997
727,7,56,1,,9000
728,7,56,0,,9000
729,7,56,2,,9000
730,5,56,1,,9000
731,5,56,0,,9000
732,5,56,2,,9997
733,4,56,2,,9000
734,4,56,1,,9997
735,4,56,0,,9998
736,50,57,0,,9000
737,18,57,0,,9000
738,17,57,2,0,3
739,17,57,0,,9000
740,17,57,1,,9000
741,16,57,0,0,2
742,15,57,0,0,9998
743,14,57,0,0,2
744,14,57,1,1,2
745,13,57,1,0,4
746,13,57,0,0,9998
747,12,57,0,1,2
748,11,57,0,0,9998
749,10,57,0,,9000
750,9,57,0,,9000
751,8,57,1,,9000
752,8,57,0,,9000
753,8,57,2,,9000
754,7,57,0,,9998
755,6,57,2,,9000
756,6,57,1,,9000
757,6,57,0,,9000
758,6,57,3,,9982
759,5,57,2,,9000
760,5,57,1,,9000
761,5,57,4,,9000
762,5,57,0,,9928
763,5,57,3,,9981
764,4,57,1,,9000
765,4,57,0,,9997
766,51,58,0,,9000
767,19,58,0,,9000
768,18,58,1,,9000
769,18,58,0,,9000
770,17,58,0,0,2
771,16,58,0,1,9998
772,15,58,0,0,2
773,14,58,0,0,3
774,13,58,0,0,2
775,12,58,1,1,9996
776,12,58,0,0,9996
777,11,58,0,,9000
778,11,58,1,1,9998
779,10,58,0,,9000
780,9,58,1,,9000
781,9,58,0,2,9998
782,8,58,0,,9995
783,7,58,1,,9983
784,7,58,0,,9985
785,6,58,2,,9000
786,6,58,1,,9000
787,6,58,0,,9998
788,5,58,1,,9997
789,5,58,0,2,9998
790,4,58,1,,9997
791,4,58,0,,9998
792,52,59,0,,9000
793,18,59,1,0,2
794,18,59,0,,9000
795,17,59,0,,9000
796,15,59,0,1,4
797,14,59,0,0,9998
798,13,59,1,1,2
799,13,59,0,0,9996
800,12,59,"0,1",,9992
801,12,59,1,0,9998
802,12,59,2,1,9998
803,11,59,2,0,2
804,11,59,0,,9000
805,11,59,1,,9000
806,10,59,"0,1",,9997
807,10,59,1,0,9998
808,9,59,0,0,9996
809,8,59,0,,9986
810,7,59,2,0,2
811,7,59,3,,9000
812,7,59,1,,9982
813,7,59,0,,9997
814,6,59,4,,9000
815,6,59,2,,9000
816,6,59,3,,9000
817,6,59,1,,9997
818,6,59,0,,9998
819,5,59,4,,9000
820,5,59,2,,9000
821,5,59,3,,9000
822,5,59,1,,9996
823,5,59,0,,9998
824,4,59,0,,9997
825,4,59,1,1,9998
826,53,60,0,,9000
827,19,60,0,,9000
828,19,60,1,,9000
829,18,60,0,,9000
830,18,60,1,,9000
831,16,60,0,0,2
832,15,60,0,0,9998
833,14,60,0,0,2
834,14,60,1,2,2
835,13,60,1,1,9996
836,13,60,0,1,9998
837,12,60,0,1,2
838,8,60,2,,9000
839,8,60,1,,9983
840,8,60,0,,9998
841,7,60,2,,9000
842,7,60,3,,9000
843,7,60,1,,9000
844,7,60,0,,9998
845,6,60,1,1,2
846,6,60,2,,9000
847,6,60,0,,9998
848,5,60,0,,9996
849,5,60,1,1,9998
850,5,60,2,,9998
851,4,60,0,,9997
852,54,61,0,,9000
853,20,61,0,,9000
854,19,61,1,,9000
855,19,61,0,,9000
856,17,61,0,0,2
857,16,61,1,1,4
858,16,61,0,0,4
859,15,61,1,0,2
860,15,61,0,1,9998
861,14,61,0,0,9996
862,13,61,0,,9000
863,12,61,0,,9000
864,11,61,0,2,9998
865,10,61,1,,9987
866,10,61,0,0,9997
867,9,61,3,,9000
868,9,61,2,,9000
869,9,61,1,,9983
870,9,61,0,,9983
871,8,61,3,,9000
872,8,61,2,,9000
873,8,61,4,,9000
874,8,61,1,,9000
875,8,61,0,,9000
876,7,61,1,1,2
877,7,61,2,,9000
878,7,61,0,,9998
879,6,61,2,,9000
880,6,61,3,,9997
881,6,61,1,3,9998
882,6,61,0,,9998
883,5,61,2,,9000
884,5,61,1,3,9998
885,5,61,0,,9998
886,4,61,0,,9000
887,55,62,0,,9000
888,20,62,0,,9000
889,17,62,1,0,2
890,17,62,0,0,4
891,16,62,0,0,9998
892,16,62,1,1,9998
893,15,62,0,"0,1",9997
894,14,62,0,0,9998
895,13,62,2,0,2
896,13,62,0,0,4
897,13,62,1,,9000
898,12,62,1,"1,2",9998
899,12,62,2,0,9998
900,12,62,0,,9998
901,11,62,0,0,9996
902,11,62,1,0,9997
903,10,62,1,,9000
904,10,62,0,,9984
905,9,62,1,,9000
906,9,62,0,,9000
907,8,62,3,1,2
908,8,62,2,,9000
909,8,62,1,,9000
910,8,62,0,,9980
911,7,62,3,1,2
912,7,62,1,,9000
913,7,62,2,,9983
914,7,62,0,,9997
915,6,62,3,,9997
916,6,62,2,3,9998
917,6,62,0,,9998
918,6,62,1,,9998
919,5,62,1,,9000
920,5,62,0,,9998
921,56,63,0,,9000
922,21,63,0,,9000
923,20,63,0,,9000
924,18,63,0,0,2
925,18,63,1,1,2
926,17,63,1,1,4
927,17,63,2,,9000
928,17,63,0,0,9998
929,16,63,0,0,2
930,15,63,0,0,9998
931,14,63,"1,2",1,2
932,14,63,0,2,2
933,14,63,2,,2
934,13,63,0,0,3
935,13,63,1,1,9998
936,10,63,0,,9928
937,9,63,2,,9000
938,9,63,3,,9000
939,9,63,1,,9000
940,9,63,0,,9000
941,8,63,3,2,2
942,8,63,1,,9000
943,8,63,2,,9000
944,8,63,0,,9983
945,7,63,0,,9000
946,7,63,1,,9997
947,6,63,1,,9982
948,6,63,0,,9994
949,5,63,1,,9000
950,5,63,0,,9928
951,57,64,0,,9000
952,21,64,0,,9000
953,19,64,0,0,2
954,18,64,"0,1",0,3
955,18,64,1,0,4
956,18,64,2,,9000
957,17,64,0,0,2
958,16,64,1,1,9996
959,16,64,0,0,9998
960,15,64,1,1,2
961,15,64,0,1,9998
962,14,64,0,1,3
963,12,64,0,0,9996
964,11,64,0,,9000
965,10,64,1,,9000
966,10,64,0,,9000
967,9,64,3,,9000
968,9,64,1,,9000
969,9,64,2,,9000
970,9,64,0,,9989
971,8,64,1,,9000
972,8,64,0,,9998
973,7,64,1,,9982
974,7,64,0,0,9997
975,6,64,1,,9000
976,6,64,0,,9000
977,5,64,0,,9997
978,5,64,1,,9998
979,58,65,0,,9000
980,22,65,0,,9000
981,19,65,1,,9000
982,19,65,0,,9000
983,18,65,0,0,2
984,17,65,1,0,2
985,17,65,0,0,9998
986,16,65,0,0,9998
987,16,65,1,1,9998
988,15,65,0,0,4
989,14,65,0,0,9998
990,13,65,1,0,9996
991,13,65,0,1,9997
992,12,65,1,,9000
993,12,65,0,,9000
994,11,65,0,,9000
995,11,65,1,,9000
996,10,65,1,,9983
997,10,65,0,,9996
998,9,65,0,,9993
999,8,65,0,,9000
1000,8,65,1,1,9997
1001,7,65,1,,9000
1002,7,65,0,,9982
1003,7,65,2,,9997
1004,6,65,0,,9000
1005,6,65,1,,9997
1006,5,65,0,,9000
1007,2,65,0,,9994
1008,1,65,0,,9996
1009,59,66,0,,9000
1010,20,66,1,,9000
1011,20,66,0,,9000
1012,19,66,0,0,2
1013,19,66,1,,9000
1014,18,66,0,0,2
1015,18,66,1,1,2
1016,17,66,1,1,9998
1017,17,66,0,0,9998
1018,16,66,0,0,2
1019,15,66,0,0,9998
1020,11,66,0,,9000
1021,10,66,0,0,3
1022,9,66,0,,9000
1023,9,66,1,,9981
1024,8,66,0,,9000
1025,8,66,1,,9000
1026,7,66,0,,9998
1027,6,66,0,,9998
1028,4,66,0,,9997
1029,60,67,0,,9000
1030,21,67,0,,9000
1031,20,67,1,1,4
1032,20,67,0,,9000
1033,19,67,1,1,2
1034,19,67,0,0,2
1035,18,67,0,2,9997
1036,17,67,0,0,2
1037,16,67,1,0,3
1038,16,67,0,0,4
1039,15,67,0,1,9998
1040,14,67,0,1,9997
1041,13,67,"0,1",,9000
1042,13,67,1,2,9998
1043,12,67,0,,9000
1044,11,67,1,1,3
1045,11,67,2,,9000
1046,11,67,0,0,9997
1047,10,67,3,,9000
1048,10,67,0,0,9996
1049,10,67,"1,2",,9996
1050,10,67,2,2,9998
1051,9,67,2,,9000
1052,9,67,1,,9000
1053,9,67,0,,9992
1054,8,67,0,,9000
1055,8,67,1,,9000
1056,7,67,1,,9000
1057,7,67,2,,9997
1058,7,67,0,2,9998
1059,6,67,0,,9997
1060,6,67,1,1,9998
1061,4,67,0,,9998
1062,3,67,0,,9994
1063,2,67,0,,9994
1064,2,67,1,,9996
1065,1,67,0,,9998
1066,61,68,0,,9000
1067,21,68,0,,9000
1068,20,68,0,,9000
1069,18,68,0,0,9998
1070,17,68,1,0,2
1071,17,68,0,1,4
1072,16,68,1,1,9998
1073,16,68,0,0,9998
1074,15,68,2,1,2
1075,15,68,0,0,9996
1076,15,68,1,0,9997
1077,14,68,"1,2",,9000
1078,14,68,"0,2",,9986
1079,14,68,2,1,9998
1080,14,68,3,0,9998
1081,13,68,1,,9000
1082,13,68,0,,9000
1083,12,68,2,2,2
1084,12,68,1,0,9997
1085,12,68,0,,9997
1086,11,68,0,0,9996
1087,11,68,1,1,9996
1088,10,68,1,,9000
1089,10,68,0,,9988
1090,9,68,2,0,2
1091,9,68,1,,9000
1092,9,68,0,,9998
1093,8,68,1,1,2
1094,8,68,0,1,9997
1095,7,68,1,,9985
1096,7,68,0,,9997
1097,6,68,"0,1",,9995
1098,6,68,1,,9997
1099,5,68,1,,9997
1100,5,68,0,,9997
1101,4,68,0,,9997
1102,3,68,0,,9992
1103,2,68,0,,9998
1104,62,69,0,,9000
1105,22,69,0,,9000
1106,21,69,2,0,3
1107,21,69,0,,9000
1108,21,69,1,,9000
1109,20,69,0,0,2
1110,19,69,0,0,9998
1111,18,69,1,1,2
1112,18,69,0,0,2
1113,17,69,1,0,3
1114,17,69,0,0,9998
1115,16,69,1,2,2
1116,16,69,0,3,2
1117,15,69,1,1,9998
1118,15,69,0,0,9998
1119,14,69,0,0,3
1120,11,69,0,,9000
1121,11,69,1,,9983
1122,10,69,2,,9000
1123,10,69,1,,9997
1124,10,69,0,,9997
1125,9,69,0,,9000
1126,8,69,0,2,9997
1127,7,69,1,,9997
1128,7,69,0,,9998
1129,6,69,1,,9995
1130,6,69,0,,9998
1131,5,69,0,,9998
1132,4,69,0,,9000
